DMA,Census DMA Total Population
BAKERSFIELD,747772
TWIN FALLS,198563
LAREDO,288718
IDAHO FALS-POCATLLO(JCKSN),391622
FRESNO-VISALIA,2092085
HOUSTON,7367505
DAVENPORT-R.ISLAND-MOLINE,745840
TULSA,1446757
GREENWOOD-GREENVILLE,142159
PARKERSBURG,129768
ROANOKE-LYNCHBURG,1094180
TERRE HAUTE,345740
BALTIMORE,2934842
GAINESVILLE,304117
SAN DIEGO,3269883
ANCHORAGE,460026
HELENA,34859
SOUTH BEND-ELKHART,839515
CEDAR RAPIDS-WTRLO-IWC&DUB,946015
NEW ORLEANS,1804241
JUNEAU,72609
MADISON,991196
CHATTANOOGA,916916
PROVIDENCE-NEW BEDFORD,1520464
BILOXI-GULFPORT,346099
HARLINGEN-WSLCO-BRNSVL-MCA,1368859
WAUSAU-RHINELANDER,401993
GRAND JUNCTION-MONTROSE,182179
DALLAS-FT. WORTH,8237176
MOBILE-PENSACOLA (FT WALT),1543023
GRAND RAPIDS-KALMZOO-B.CRK,2247506
PALM SPRINGS,449253
FT. MYERS-NAPLES,1340362
RAPID CITY,261322
SPRINGFIELD-HOLYOKE,673181
BLUEFIELD-BECKLEY-OAK HILL,307513
MIAMI-FT. LAUDERDALE,4743948
"BEND, OR",56365
WILMINGTON,482654
CHARLOTTE,3462499
"LAFAYETTE, LA",687644
PITTSBURGH,2933801
ATLANTA,7231708
"ALEXANDRIA, LA",212280
MONTEREY-SALINAS,628002
BOSTON (MANCHESTER),6815250
TRAVERSE CITY-CADILLAC,580302
ZANESVILLE,63579
"COLUMBUS, OH",2700283
ERIE,377869
SIOUX FALLS(MITCHELL),715625
BILLINGS,333077
EL PASO (LAS CRUCES),1054691
PHILADELPHIA,8108443
COLUMBUS-TUPELO-W PNT-HSTN,481172
TALLAHASSEE-THOMASVILLE,790302
GREENSBORO-H.POINT-W.SALEM,1744929
MONTGOMERY-SELMA,667289
FARGO,644069
ELMIRA (CORNING),203323
NORTH PLATTE,35771
HUNTSVILLE-DECATUR (FLOR),920424
SAN FRANCISCO-OAK-SAN JOSE,7774401
KNOXVILLE,1478243
MEDFORD-KLAMATH FALLS,454981
HONOLULU,1420074
LANSING,545150
MANKATO,106318
CINCINNATI,2493696
ST. LOUIS,3262818
SIOUX CITY,367057
ALBANY-SCHENECTADY-TROY,1392024
"JACKSON, MS",980585
CHARLESTON-HUNTINGTON,1082013
ORLANDO-DAYTONA BCH-MELBRN,4333153
BANGOR,341315
"WASHINGTON, DC (HAGRSTWN)",7202707
SANTABARBRA-SANMAR-SANLUOB,703584
"TRI-CITIES, TN-VA",732406
DULUTH-SUPERIOR,393450
SAN ANTONIO,2974511
GREAT FALLS,167690
DENVER,4717520
BATON ROUGE,948105
SAN ANGELO,142067
VICTORIA,77066
WILKES BARRE-SCRANTON-HZTN,1464395
SALISBURY,424020
LOS ANGELES,18391656
HATTIESBURG-LAUREL,225352
"JACKSON, TN",191928
EUGENE,600547
PRESQUE ISLE,66726
JOHNSTOWN-ALTOONA-ST COLGE,675759
INDIANAPOLIS,3211679
SPOKANE,1197348
SEATTLE-TACOMA,5407265
HARRISBURG-LNCSTR-LEB-YORK,2004066
FLINT-SAGINAW-BAY CITY,1042242
HARRISONBURG,239135
KANSAS CITY,2599976
WHEELING-STEUBENVILLE,317459
NEW YORK,21376583
PEORIA-BLOOMINGTON,605390
SAVANNAH,992496
BEAUMONT-PORT ARTHUR,461030
MINOT-BSMRCK-DCKNSN(WLSTN),411803
MACON,646861
"COLUMBIA, SC",1152209
CORPUS CHRISTI,599558
DETROIT,5064155
JACKSONVILLE,1982975
SACRAMNTO-STKTON-MODESTO,4370160
MISSOULA,323008
NORFOLK-PORTSMTH-NEWPT NWS,1972427
"ALBANY, GA",340875
ROCHESTR-MASON CITY-AUSTIN,315529
BUTTE-BOZEMAN,186954
DAYTON,1102648
LINCOLN & HASTINGS-KRNY,727592
CHAMPAIGN&SPRNGFLD-DECATUR,954508
BURLINGTON-PLATTSBURGH,811576
RALEIGH-DURHAM (FAYETVLLE),3423006
SALT LAKE CITY,3330985
CHARLOTTESVILLE,179526
GREEN BAY-APPLETON,1149172
OKLAHOMA CITY,1974717
WATERTOWN,232895
UTICA,232467
DOTHAN,232576
BUFFALO,1586958
PANAMA CITY,389981
EVANSVILLE,700952
PORTLAND-AUBURN,1018242
AUSTIN,2230628
OMAHA,1148191
SHREVEPORT,1109433
YUMA-EL CENTRO,383067
LEXINGTON,1192566
MARQUETTE,205644
MEMPHIS,1889514
EUREKA,160295
MYRTLE BEACH-FLORENCE,676434
MINNEAPOLIS-ST. PAUL,5012739
RICHMOND-PETERSBURG,1490461
MERIDIAN,126710
RENO,757414
PADUCAH-CAPE GIRARD-HARSBG,947671
JONESBORO,205474
SHERMAN-ADA,316092
LITTLE ROCK-PINE BLUFF,1510072
CLARKSBURG-WESTON,212519
"ROCHESTER, NY",1060565
FT. WAYNE,701925
AMARILLO,547071
"PORTLAND, OR",3625021
OTTUMWA-KIRKSVILLE,115608
BOISE,836465
BOWLING GREEN,168673
NASHVILLE,3105859
CHICO-REDDING,467350
LA CROSSE-EAU CLAIRE,466648
FT. SMITH-FAY-SPRNGDL-RGRS,863579
YAKIMA-PASCO-RCHLND-KNNWCK,712349
ST. JOSEPH,113386
ALPENA,13142
MONROE-EL DORADO,437354
ALBUQUERQUE-SANTA FE,1895440
BIRMINGHAM (ANN AND TUSC),2013953
WICHITA FALLS & LAWTON,392034
SYRACUSE,1002108
AUGUSTA-AIKEN,683735
QUINCY-HANNIBAL-KEOKUK,250248
TAMPA-ST. PETE (SARASOTA),5053250
BINGHAMTON,349189
CHICAGO,9692266
LOUISVILLE,1826309
JOPLIN-PITTSBURG,356924
WICHITA-HUTCHINSON PLUS,1271773
ROCKFORD,439729
MILWAUKEE,2408486
LUBBOCK,481504
LAS VEGAS,2276994
TUCSON (SIERRA VISTA),1165547
CLEVELAND-AKRON (CANTON),3908110
CASPER-RIVERTON,128510
CHEYENNE-SCOTTSBLUFF,128555
COLUMBIA-JEFFERSON CITY,458484
DES MOINES-AMES,1230169
COLORADO SPRINGS-PUEBLO,962352
PHOENIX (PRESCOTT),5748595
ODESSA-MIDLAND,481651
TOLEDO,1049750
YOUNGSTOWN,584281
"COLUMBUS, GA (OPELIKA, AL)",490470
HARTFORD & NEW HAVEN,2626161
LIMA,108084
WACO-TEMPLE-BRYAN,1020923
"SPRINGFIELD, MO",1126774
ABILENE-SWEETWATER,285990
TOPEKA,375293
LAKE CHARLES,231643
FAIRBANKS,109174
GLENDIVE,9994
GREENVILLE-N.BERN-WASHNGTN,789971
GREENVLL-SPART-ASHEVLL-AND,2276594
"LAFAYETTE, IN",112537
"CHARLESTON, SC",933901
TYLER-LONGVIEW(LFKN&NCGD),648819
WEST PALM BEACH-FT. PIERCE,2119654
